Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
21/12/2018,Girona,Getafe,1,1,D,12,5,4,2,9,13,4,1,1,2,0,0,LL
21/12/2018,Sociedad,Alaves,0,1,A,18,9,4,3,14,11,10,1,2,4,0,0,LL
22/12/2018,Ath Bilbao,Valladolid,1,1,D,8,5,3,2,25,12,3,1,3,2,0,0,LL
22/12/2018,Ath Madrid,Espanol,1,0,H,8,18,5,4,16,13,5,9,1,1,0,0,LL
22/12/2018,Barcelona,Celta,2,0,H,9,11,5,1,14,15,4,6,0,1,0,0,LL
22/12/2018,Betis,Eibar,1,1,D,4,15,2,4,11,13,4,11,2,4,0,0,LL
23/12/2018,Leganes,Sevilla,1,1,D,13,8,4,2,14,9,3,6,3,3,0,1,LL
23/12/2018,Valencia,Huesca,2,1,H,19,11,8,4,14,15,12,5,7,4,0,0,LL
23/12/2018,Vallecano,Levante,2,1,H,18,12,8,7,13,10,3,5,2,2,0,0,LL
03/01/2019,Villarreal,Real Madrid,2,2,D,12,14,4,7,12,13,6,4,2,2,0,0,LL
04/01/2019,Espanol,Leganes,1,0,H,12,10,1,2,10,17,3,6,2,5,0,1,LL
04/01/2019,Levante,Girona,2,2,D,19,9,8,2,18,16,8,2,3,1,1,0,LL
05/01/2019,Alaves,Valencia,2,1,H,14,14,5,2,10,13,2,6,3,3,0,0,LL
05/01/2019,Huesca,Betis,2,1,H,11,7,6,1,21,7,4,6,3,2,0,0,LL
05/01/2019,Valladolid,Vallecano,0,1,A,12,9,5,5,16,23,9,5,0,3,0,0,LL
06/01/2019,Eibar,Villarreal,0,0,D,24,7,6,4,12,17,13,1,0,2,0,0,LL
06/01/2019,Getafe,Barcelona,1,2,A,10,12,2,8,23,12,4,4,4,3,0,0,LL
06/01/2019,Real Madrid,Sociedad,0,2,A,28,12,8,4,13,13,10,4,5,1,1,0,LL
06/01/2019,Sevilla,Ath Madrid,1,1,D,15,12,5,7,15,11,4,5,5,7,0,0,LL
07/01/2019,Celta,Ath Bilbao,1,2,A,17,8,3,4,16,21,3,2,2,5,0,0,LL
11/01/2019,Vallecano,Celta,4,2,H,11,13,8,4,12,8,7,5,4,1,0,0,LL
12/01/2019,Girona,Alaves,1,1,D,9,15,4,4,21,14,6,3,4,2,0,0,LL
12/01/2019,Leganes,Huesca,1,0,H,14,9,7,3,11,9,4,4,3,3,0,0,LL
12/01/2019,Valencia,Valladolid,1,1,D,17,6,5,1,15,18,7,0,2,5,0,0,LL
12/01/2019,Villarreal,Getafe,1,2,A,17,9,6,4,14,13,6,1,5,3,0,0,LL
13/01/2019,Ath Bilbao,Sevilla,2,0,H,10,10,3,4,14,14,7,6,4,3,0,0,LL
13/01/2019,Ath Madrid,Levante,1,0,H,19,7,5,2,9,17,5,2,0,3,0,0,LL
13/01/2019,Barcelona,Eibar,3,0,H,7,15,6,2,10,12,2,3,2,1,0,0,LL
13/01/2019,Betis,Real Madrid,1,2,A,9,14,2,5,9,13,6,5,2,3,0,0,LL
14/01/2019,Sociedad,Espanol,3,2,H,9,21,4,2,15,12,7,3,7,4,1,0,LL
18/01/2019,Getafe,Alaves,4,0,H,12,6,5,0,17,18,4,2,0,4,0,0,LL
19/01/2019,Celta,Valencia,1,2,A,12,13,4,8,18,12,4,6,4,3,0,0,LL
19/01/2019,Huesca,Ath Madrid,0,3,A,14,15,3,8,15,13,6,5,2,2,0,0,LL
19/01/2019,Real Madrid,Sevilla,2,0,H,23,4,6,1,9,14,7,4,2,3,0,0,LL
20/01/2019,Barcelona,Leganes,3,1,H,15,5,7,2,12,18,5,1,3,3,0,0,LL
20/01/2019,Betis,Girona,3,2,H,12,8,5,5,9,12,7,2,2,4,0,0,LL
20/01/2019,Levante,Valladolid,2,0,H,13,13,4,3,12,18,3,2,6,5,0,0,LL
20/01/2019,Vallecano,Sociedad,2,2,D,11,10,4,4,14,10,2,9,2,1,0,0,LL
20/01/2019,Villarreal,Ath Bilbao,1,1,D,3,9,1,2,17,13,1,3,4,1,0,0,LL
21/01/2019,Eibar,Espanol,3,0,H,16,6,9,0,16,10,6,2,2,5,0,0,LL
26/01/2019,Ath Madrid,Getafe,2,0,H,10,6,6,2,11,26,3,6,2,7,0,2,LL
26/01/2019,Leganes,Eibar,2,2,D,9,5,3,2,15,14,4,5,2,3,0,0,LL
26/01/2019,Sevilla,Levante,5,0,H,23,7,9,0,15,13,5,8,2,1,0,0,LL
26/01/2019,Valencia,Villarreal,3,0,H,18,14,9,5,13,8,7,4,1,3,0,0,LL
27/01/2019,Ath Bilbao,Betis,1,0,H,11,8,2,2,20,6,6,4,4,2,1,0,LL
27/01/2019,Espanol,Real Madrid,2,4,A,13,16,6,9,15,17,1,6,3,4,0,1,LL
27/01/2019,Girona,Barcelona,0,2,A,13,15,5,7,18,12,3,8,5,3,1,0,LL
27/01/2019,Sociedad,Huesca,0,0,D,8,8,1,1,9,22,5,2,0,3,0,0,LL
27/01/2019,Valladolid,Celta,2,1,H,19,8,7,3,15,19,7,5,2,5,0,1,LL
28/01/2019,Alaves,Vallecano,0,1,A,16,14,1,3,14,19,7,4,2,5,0,0,LL
01/02/2019,Huesca,Valladolid,4,0,H,11,9,7,4,17,11,7,7,6,2,0,0,LL
02/02/2019,Barcelona,Valencia,2,2,D,20,14,8,7,8,5,9,1,3,0,0,0,LL
02/02/2019,Celta,Sevilla,1,0,H,10,13,4,2,13,12,4,9,4,4,0,0,LL
02/02/2019,Levante,Getafe,0,0,D,8,9,4,2,7,15,5,5,4,3,0,0,LL
02/02/2019,Sociedad,Ath Bilbao,2,1,H,6,8,2,5,17,13,3,3,1,1,0,0,LL
03/02/2019,Betis,Ath Madrid,1,0,H,7,13,3,1,7,21,1,7,4,3,0,0,LL
03/02/2019,Eibar,Girona,3,0,H,17,6,5,2,12,9,8,5,2,1,0,0,LL
03/02/2019,Real Madrid,Alaves,3,0,H,22,8,8,1,10,12,7,2,0,3,0,0,LL
03/02/2019,Villarreal,Espanol,2,2,D,14,17,5,2,22,16,3,2,4,5,0,0,LL
04/02/2019,Vallecano,Leganes,1,2,A,15,13,6,4,19,10,5,6,6,4,0,1,LL
08/02/2019,Valladolid,Villarreal,0,0,D,9,7,3,3,13,18,8,3,3,2,0,0,LL
09/02/2019,Ath Madrid,Real Madrid,1,3,A,11,11,2,4,21,16,3,4,7,3,1,0,LL
09/02/2019,Espanol,Vallecano,2,1,H,15,9,5,3,11,19,6,2,0,2,0,0,LL
09/02/2019,Getafe,Celta,3,1,H,12,13,6,3,16,13,4,3,3,3,0,1,LL
09/02/2019,Girona,Huesca,0,2,A,13,6,7,6,9,18,13,2,3,1,1,0,LL
