Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
21/01/2024,17:00,Salernitana,Genoa,1,2,A,11,5,2,5,7,15,5,5,0,5,0,0
21/01/2024,19:45,Lecce,Juventus,0,3,A,12,15,3,8,8,12,5,5,1,1,0,0
26/01/2024,19:45,Cagliari,Torino,1,2,A,25,16,10,6,12,12,8,2,2,4,0,0
27/01/2024,14:00,Atalanta,Udinese,2,0,H,14,13,11,5,8,11,4,4,2,1,0,0
27/01/2024,17:00,Juventus,Empoli,1,1,D,9,16,3,5,11,6,6,7,1,1,1,0
27/01/2024,19:45,Milan,Bologna,2,2,D,14,15,4,4,16,12,4,1,5,3,0,0
28/01/2024,11:30,Genoa,Lecce,2,1,H,19,19,7,5,12,17,3,8,0,2,0,0
28/01/2024,14:00,Monza,Sassuolo,1,0,H,12,14,1,3,8,13,4,5,1,3,0,0
28/01/2024,14:00,Verona,Frosinone,1,1,D,15,11,5,6,17,12,1,9,2,2,0,0
28/01/2024,17:00,Lazio,Napoli,0,0,D,10,5,1,0,11,11,4,3,3,2,0,0
28/01/2024,19:45,Fiorentina,Inter,0,1,A,14,8,4,4,6,12,7,6,2,3,0,0
29/01/2024,19:45,Salernitana,Roma,1,2,A,15,5,7,2,12,12,5,1,2,3,0,0
02/02/2024,19:45,Lecce,Fiorentina,3,2,H,16,10,8,3,13,14,1,3,3,3,0,0
03/02/2024,14:00,Empoli,Genoa,0,0,D,15,10,4,2,11,12,6,6,2,3,0,1
03/02/2024,14:00,Udinese,Monza,0,0,D,21,3,6,2,12,13,7,4,3,2,0,0
03/02/2024,17:00,Frosinone,Milan,2,3,A,7,13,4,5,10,13,2,4,1,3,0,0
03/02/2024,19:45,Bologna,Sassuolo,4,2,H,19,12,4,4,12,10,7,4,1,3,0,0
04/02/2024,11:30,Torino,Salernitana,0,0,D,13,3,1,1,11,8,10,1,2,1,0,0
04/02/2024,14:00,Napoli,Verona,2,1,H,19,12,8,2,11,14,9,2,3,2,0,0
04/02/2024,17:00,Atalanta,Lazio,3,1,H,19,7,5,1,13,14,6,1,2,3,0,0
04/02/2024,19:45,Inter,Juventus,1,0,H,15,12,3,1,8,8,6,4,2,2,0,0
05/02/2024,19:45,Roma,Cagliari,4,0,H,20,12,6,3,8,12,7,5,1,1,0,0
09/02/2024,19:45,Salernitana,Empoli,1,3,A,13,17,4,3,10,17,4,8,3,2,0,0
10/02/2024,14:00,Cagliari,Lazio,1,3,A,13,12,6,5,6,9,7,8,1,3,0,0
10/02/2024,17:00,Roma,Inter,2,4,A,8,10,3,6,9,14,3,8,2,0,0,0
10/02/2024,19:45,Sassuolo,Torino,1,1,D,11,13,4,2,12,11,5,4,1,3,0,0
11/02/2024,11:30,Fiorentina,Frosinone,5,1,H,18,11,7,3,16,8,2,5,3,1,0,0
11/02/2024,14:00,Bologna,Lecce,4,0,H,16,14,6,3,10,13,4,3,1,2,0,0
11/02/2024,14:00,Monza,Verona,0,0,D,11,10,1,1,19,15,5,2,1,2,0,0
11/02/2024,17:00,Genoa,Atalanta,1,4,A,15,14,6,9,8,13,7,4,3,4,0,0
11/02/2024,19:45,Milan,Napoli,1,0,H,10,12,6,2,9,12,1,2,1,1,0,0
12/02/2024,19:45,Juventus,Udinese,0,1,A,14,8,6,1,15,10,8,4,3,3,0,0
14/02/2024,18:00,Bologna,Fiorentina,2,0,H,18,12,7,3,11,8,2,3,2,3,0,0
16/02/2024,18:00,Torino,Lecce,2,0,H,12,8,4,4,16,11,5,5,1,4,0,1
16/02/2024,20:00,Inter,Salernitana,4,0,H,26,1,10,0,9,9,18,0,0,1,0,0
17/02/2024,14:00,Napoli,Genoa,1,1,D,25,6,7,4,9,13,7,2,3,2,0,0
17/02/2024,17:00,Verona,Juventus,2,2,D,14,18,9,4,8,10,5,4,0,0,0,0
17/02/2024,19:45,Atalanta,Sassuolo,3,0,H,28,12,13,4,10,9,11,5,0,0,0,0
18/02/2024,11:30,Lazio,Bologna,1,2,A,12,11,7,3,5,11,8,3,2,3,0,0
18/02/2024,14:00,Empoli,Fiorentina,1,1,D,5,9,4,4,15,14,0,3,3,2,0,0
18/02/2024,14:00,Udinese,Cagliari,1,1,D,17,5,3,2,14,10,3,4,3,2,0,0
18/02/2024,17:00,Frosinone,Roma,0,3,A,25,13,7,5,10,16,10,2,0,3,0,0
18/02/2024,19:45,Monza,Milan,4,2,H,12,16,6,6,11,10,7,3,4,1,0,1
22/02/2024,19:45,Torino,Lazio,0,2,A,24,7,4,4,11,7,7,4,3,2,0,1
23/02/2024,19:45,Bologna,Verona,2,0,H,12,7,3,3,12,15,11,1,2,2,0,0
24/02/2024,14:00,Sassuolo,Empoli,2,3,A,19,14,5,6,12,14,4,1,1,3,0,0
24/02/2024,17:00,Salernitana,Monza,0,2,A,11,17,3,7,6,13,7,11,2,2,0,0
24/02/2024,19:45,Genoa,Udinese,2,0,H,19,5,4,1,9,17,8,3,1,4,0,1
25/02/2024,11:30,Juventus,Frosinone,3,2,H,22,7,5,3,12,6,8,3,2,2,0,0
25/02/2024,14:00,Cagliari,Napoli,1,1,D,8,9,3,4,12,12,4,3,4,1,0,0
25/02/2024,17:00,Lecce,Inter,0,4,A,14,11,2,7,13,6,7,10,1,2,0,0
